Subject	Object
CHEBI:15676	N-(2,5-dioxoimidazolidin-4-yl)urea
CHEBI:15676	Allantoin
CHEBI:15682	2-(N(omega)-L-arginino)butanedioic acid
CHEBI:15724	trimethylamine N-oxide
CHEBI:15724	Trimethylamine N-oxide
CHEBI:15724	N,N-dimethylmethanamine oxide
CHEBI:15738	Staurosporin
CHEBI:15738	InChIKey=HKSZLNNOFSGOKW-PULLEYNNDJ
CHEBI:15738	InChI=1/C28H26N4O3/c1-28-26(34-3)17(29-2)12-20(35-28)31-18-10-6-4-8-14(18)22-23-16(13-30-27(23)33)21-15-9-5-7-11-19(15)32(28)25(21)24(22)31/h4-11,17,20,26,29H,12-13H2,1-3H3,(H,30,33)/t17-,20-,26-,28+/m1/s1/f/h30H
CHEBI:15738	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13
CHEBI:15738	C28H26N4O3
CHEBI:15738	(5S,6R,7R,9R)-6-methoxy-5-methyl-7-methylamino-6,7,8,9,15,16-hexahydro-5H,14H-5,9-epoxy-4b,9a,15-triazadibenzo[b,h]cyclonona[1,2,3,4-jkl]cyclopenta[e]-as-indacen-14-one
CHEBI:15756	palmitate
CHEBI:15756	n-hexadecoic acid
CHEBI:15756	n-hexadecanoic acid
CHEBI:15756	hexadecoic acid
CHEBI:15756	hexadecanoic acid, ion(1-)
CHEBI:15756	hexadecanoate
CHEBI:15756	cetylic acid
CHEBI:15756	Pentadecanecarboxylic acid
CHEBI:15756	Palmitinsaeure
CHEBI:15756	Palmitic acid
CHEBI:15756	InChIKey=IPCSVZSSVZVIGE-HCKMINDGCQ
CHEBI:15756	InChI=1/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)/f/h17H
CHEBI:15756	Hexadecylic acid
CHEBI:15756	CH3-[CH2]14-COOH
CHEBI:15756	CH3-[CH2]14-COO(-)
CHEBI:15756	CCCCCCCCCCCCCCCC(O)=O
CHEBI:15756	C16H32O2
CHEBI:15756	1-Pentadecanecarboxylic acid
CHEBI:15767	methylene bichloride
CHEBI:15767	methane dichloride
CHEBI:15767	dichloromethane
CHEBI:15767	chlorure de methylene
CHEBI:15767	Methylene dichloride
CHEBI:15767	Methylene chloride
CHEBI:15767	Methylenchlorid
CHEBI:15767	Dichloromethane
CHEBI:15767	Dichlormethan
CHEBI:15767	DCM
CHEBI:15767	CH2Cl2
CHEBI:15793	3-Hydroxyanthranilic acid
CHEBI:15793	2-amino-3-hydroxybenzoic acid
CHEBI:15843	cis-Delta(5,8,11,14)-eicosatetraenoic acid
CHEBI:15843	cis-5,8,11,14-Eicosatetraenoic acid
CHEBI:15843	all-cis-5,8,11,14-eicosatetraenoic acid
CHEBI:15843	C20H32O2
CHEBI:15843	Arachidonsaeure
CHEBI:15843	Arachidonic acid
CHEBI:15843	ARACHIDONIC ACID
CHEBI:15843	ARA
CHEBI:15843	AA
CHEBI:15843	(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoic acid
CHEBI:15843	(5Z,8Z,11Z,14Z)-Icosatetraenoic acid
CHEBI:15843	(5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoic acid
CHEBI:15866	[H]C([H])(C=O)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO
CHEBI:15866	InChIKey=VRYALKFFQXWPIH-PBXRRBTRBQ
CHEBI:15866	InChI=1/C6H12O5/c7-2-1-4(9)6(11)5(10)3-8/h2,4-6,8-11H,1,3H2/t4-,5-,6+/m1/s1
CHEBI:15866	Deoxyglucose
CHEBI:15866	D-arabino-2-Deoxyhexose
CHEBI:15866	D-2dGlc
CHEBI:15866	C6H12O5
CHEBI:15866	2-deoxy-D-arabino-hexopyranose
CHEBI:15866	2-Deoxy-D-mannose
CHEBI:15882	carbolic acid
CHEBI:15882	acide phenique
CHEBI:15882	acide carbolique
CHEBI:15882	Phenylic acid
CHEBI:15882	Phenic acid
CHEBI:15882	PhOH
CHEBI:15882	Oc1ccccc1
CHEBI:15882	Karbolsaeure
CHEBI:15882	InChIKey=ISWSIDIOOBJBQZ-UHFFFAOYAI
CHEBI:15882	InChI=1/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H
CHEBI:15882	Hydroxybenzene
CHEBI:15882	Carbolsaeure
CHEBI:15882	C6H6O
CHEBI:15882	Benzenol
CHEBI:15889	3-hydroxysteroids
CHEBI:15891	Taurine
CHEBI:15891	2-aminoethanesulfonic acid
CHEBI:15901	dihydropyrimidine-2,4(1H,3H)-dione
CHEBI:15901	5,6-dihydrouracil
CHEBI:15901	5,6-Dihydrouracil
CHEBI:15929	methyl {(1R,2R)-3-oxo-2-[(2Z)-pent-2-en-1-yl]cyclopentyl}acetate
CHEBI:15929	methyl (-)-jasmonate
CHEBI:15929	Methyl jasmonate
CHEBI:15929	C13H20O3
CHEBI:15929	3-oxo-2-(2-pentenyl)cyclopentaneacetic acid methyl ester
CHEBI:15930	InChIKey=MXWJVTOOROXGIU-PZWAIHAUCQ
CHEBI:15930	InChI=1/C8H14ClN5/c1-4-10-7-12-6(9)13-8(14-7)11-5(2)3/h5H,4H2,1-3H3,(H2,10,11,12,13,14)/f/h10-11H
CHEBI:15930	Homeobox Protein Hox-C6
CHEBI:15930	Homeobox Protein Hox-3C
CHEBI:15930	Homeobox Protein HOXC6
CHEBI:15930	Homeobox Protein HHO.C8
CHEBI:15930	Homeobox Protein CP25
CHEBI:15930	Homeobox Protein C8
CHEBI:15930	Homeobox Protein C6
CHEBI:15930	Homeobox Protein 3C
CHEBI:15930	HOXC6
CHEBI:15930	HOX3C
CHEBI:15930	HHO.C8
CHEBI:15930	CP25
CHEBI:15930	CCNc1nc(Cl)nc(NC(C)C)n1
CHEBI:15930	C8H14ClN5
CHEBI:15930	6-chloro-N-ethyl-N'-isopropyl-1,3,5-triazine-2,4-diamine
CHEBI:15930	6-chloro-N-ethyl-N'-(propan-2-yl)-1,3,5-triazine-2,4-diamine
CHEBI:15930	6-chloro-N-ethyl-N'-(1-methylethyl)-1,3,5-triazine-2,4-diamine
CHEBI:15930	2-chloro-4-ethylamino-6-isopropylamino-s-triazine
CHEBI:15930	2-CHLORO-4-ISOPROPYLAMINO-6-ETHYLAMINO-1,3,5-TRIAZINE
CHEBI:15940	vitamin B3
CHEBI:15940	pyridine-beta-carboxylic acid
CHEBI:15940	pyridine-3-carboxylic acid
CHEBI:15940	pellagra preventive factor
CHEBI:15940	nicotinic acid
CHEBI:15940	m-pyridinecarboxylic acid
CHEBI:15940	beta-pyridinecarboxylic acid
CHEBI:15940	anti-pellagra vitamin
CHEBI:15940	acidum nicotinicum
CHEBI:15940	acido nicotinico
CHEBI:15940	acide nicotinique
CHEBI:15940	PP factor
CHEBI:15940	P.P. factor
CHEBI:15940	Nikotinsaeure
CHEBI:15940	Nicotinic acid
CHEBI:15940	Niacin
CHEBI:15940	NICOTINIC ACID
CHEBI:15940	C6H5NO2
CHEBI:15940	3-carboxypyridine
CHEBI:15940	3-Pyridylcarboxylic acid
CHEBI:15940	3-Pyridinecarboxylic acid
CHEBI:15963	meso-ribitol
CHEBI:15963	Ribitol
CHEBI:15963	(2R,3s,4S)-pentane-1,2,3,4,5-pentol
CHEBI:15978	sn-glycerol 3-(dihydrogen phosphate)
CHEBI:15978	sn-Gro-1-P
CHEBI:15978	sn-Glycerol 3-phosphate
CHEBI:15978	phosphoric acid mono-((R)-2,3-dihydroxy-propyl) ester
CHEBI:15978	SN-GLYCEROL-3-PHOSPHATE
CHEBI:15978	Phosphorsaeure-mono-((R)-2,3-dihydroxy-propylester)
CHEBI:15978	L-(glycerol 3-phosphate)
CHEBI:15978	Glycerophosphoric acid
CHEBI:15978	Glycerol-3-phosphate
CHEBI:15978	D-(glycerol 1-phosphate)
CHEBI:15978	C3H9O6P
CHEBI:15978	(R)-glycerol 1-phosphate
CHEBI:15978	(2R)-2,3-dihydroxypropyl dihydrogen phosphate
CHEBI:16010	5-oxopyrrolidine-2-carboxylic acid
CHEBI:16010	5-oxoproline
CHEBI:16010	5-Oxoproline
CHEBI:16010	5-OXOPROLINE
CHEBI:16020	1-methyladenosine
CHEBI:16020	1-Methyladenosine
CHEBI:16027	Adenosine 5'-monophosphate
